ad_ref,assembly,body,ad_city,color,engine_cc,fuel_type,make,mileage,model,registered,transmission,year,price,make_reduced,model_reduced,log_price
7927285,Imported,Van,Lahore,Pearl White,2000.0,Hybrid,Nissan,124000,Serena,Un-Registered,Automatic,1905.0,8990000.0,Nissan,Other,16.0116235176825
7679303,Imported,Hatchback,Lahore,Grey,996.0,Petrol,Toyota,30738,Vitz,Punjab,Automatic,1905.0,4190000.0,Toyota,Vitz,15.248211530561777
7915479,Unknown,Sedan,Lahore,Super white,1798.0,Petrol,Toyota,183000,Corolla,Punjab,Automatic,1905.0,3990000.0,Toyota,Corolla,15.199302039492581
7918380,Unknown,Sedan,Lahore,Crystal Black Pearl,1500.0,Petrol,Honda,41000,Civic,Punjab,Automatic,1905.0,6490000.0,Honda,Civic,15.685773242763466
7676167,Imported,MPV,Lahore,Silver,3000.0,Petrol,Toyota,126000,Alphard,Punjab,Automatic,1905.0,4750000.0,Toyota,Other,15.373655386537118
7908190,Imported,SUV,Lahore,White,2700.0,Petrol,Toyota,34000,Prado,Un-Registered,Automatic,1905.0,28900000.0,Toyota,Prado,17.179352187684735
7823946,Unknown,Sedan,Lahore,Modern Steel Metallic,1500.0,Petrol,Honda,65989,Civic,Punjab,Automatic,1905.0,6490000.0,Honda,Civic,15.685773242763466
7900746,Imported,Van,Lahore,Black,2000.0,Hybrid,Nissan,97000,Serena,Un-Registered,Automatic,1905.0,7700000.0,Nissan,Other,15.856731016694035
7917469,Imported,SUV,Lahore,White Pearl Crystal Shine,4600.0,Petrol,Toyota,9500,Land,Un-Registered,Automatic,1905.0,79800000.0,Toyota,Land,18.195034074951366
7815514,Unknown,Sedan,Lahore,Crystal Black,1800.0,Petrol,Honda,147000,Civic,Punjab,Automatic,1905.0,4300000.0,Honda,Civic,15.274125813221904
7931905,Imported,Sedan,Sialkot,Black,1800.0,Petrol,Audi,61000,A4,Islamabad,Automatic,1905.0,7300000.0,Audi,Other,15.803385043104912
7931906,Unknown,Unknown,Lahore,White,1500.0,Petrol,Honda,81000,BR-V,Islamabad,Manual,1905.0,4150000.0,Honda,BR-V,15.238619133170708
7921784,Imported,Crossover,Lahore,Clear White,1368.0,Petrol,KIA,37000,Stonic,Punjab,Automatic,1905.0,5390000.0,KIA,Other,15.50005612841392
7848640,Unknown,Crossover,Lahore,Crystal Black Pearl,1500.0,Petrol,Honda,12749,HR-V,Punjab,Automatic,1905.0,7490000.0,Honda,Other,15.829079489004743
7806751,Imported,Hatchback,Lahore,Black,660.0,Petrol,Daihatsu,32826,Mira,Un-Registered,Automatic,1905.0,3690000.0,Daihatsu,Mira,15.121137287019383
